1,Apple,
1,Apricot,
1,Avocado,
1,Banana,
1,Bilberry,
1,Blackberry,
1,Blackcurrant,
1,Black sapote,
1,Blueberry,
1,Boysenberry,
1,Breadfruit,
1,Cactus pear,
1,Cempedak,
1,Crab apple,
1,Currant,
1,Cherry,
1,Chico fruit,
1,Cloudberry,
1,Coco De Mer,
1,Coconut,
1,Cranberry,
1,Damson,
1,Date,
1,Dragonfruit,
1,Durian,
3,Egg Fruit,
3,Elderberry,
3,Feijoa,
3,Fig,
3,Goji berry,
3,Gooseberry,
3,Grape,
3,Grewia,
3,Raisin,
3,Grapefruit,
3,Guava,
3,Hala,
3,Honeyberry,
3,Huckleberry,
3,Jabuticaba,
3,Jackfruit,
3,Jambul,
3,Japanese,
3,Jostaberry,
3,Jujube,
3,Juniper,
3,Kiwano,
3,Kiwifruit,
3,Kumquat,
3,Lemo,
