2,num,zero,
2,num,one,
2,num,two,
2,num,three,
2,num,four,
2,num,five,
2,num,six,
2,num,seven,
2,num,eight,
2,num,nine,
2,num,ten,
2,num,eleven,
2,num,twelve,
2,num,thirteen,
2,num,fourteen,
2,num,fifteen,
2,num,sixteen,
2,num,seventeen,
2,num,eighteen,
2,num,nineteen,
2,num,twenty,
2,num,twenty-one,
2,num,twenty-two,
2,num,twenty-three,
2,num,twenty-four,
2,num,twenty-five,
2,num,twenty-six,
2,num,twenty-seven,
2,num,twenty-eight,
2,num,twenty-nine,
2,num,thirty,
2,num,thirty-one,
2,num,thirty-two,
2,num,thirty-three,
2,num,thirty-four,
2,num,thirty-five,
2,num,thirty-six,
2,num,thirty-seven,
2,num,thirty-eight,
2,num,thirty-nine,
2,num,forty,
2,num,forty-one,
2,num,forty-two,
2,num,forty-three,
2,num,forty-four,
2,num,forty-five,
2,num,forty-six,
2,num,forty-seven,
1,num,
2,num,forty-eight,
2,num,forty-nine,
2,num,fifty,
2,num,fifty-one,
2,num,fifty-two,
2,num,fifty-three,
2,num,fifty-four,
2,num,fifty-five,
2,num,fifty-six,
2,num,fifty-seven,
2,num,fifty-eight,
2,num,fifty-nine,
2,num,sixty,
2,num,sixty-one,
2,num,sixty-two,
2,num,sixty-three,
2,num,sixty-four,
2,num,sixty-five,
2,num,sixty-six,
2,num,sixty-seven,
2,num,sixty-eight,
2,num,sixty-nine,
2,num,seventy,
2,num,seventy-one,
2,num,seventy-two,
2,num,seventy-three,
2,num,seventy-four,
2,num,seventy-five,
2,num,seventy-six,
2,num,seventy-seven,
2,num,seventy-eight,
2,num,seventy-nine,
2,num,eighty,
2,num,eighty-one,
2,num,eighty-two,
1,num,
2,num,eighty-three,
2,num,eighty-four,
2,num,eighty-five,
2,num,eighty-six,
2,num,eighty-seven,
2,num,eighty-eight,
2,num,eighty-nine,
2,num,ninety,
2,num,ninety-one,
2,num,ninety-two,
2,num,ninety-three,
2,num,ninety-four,
2,num,ninety-five,
2,num,ninety-six,
2,num,ninety-seven,
2,num,ninety-eight,
2,num,ninety-nine,
2,num,hundred,
1,num,
